priority_bucket,priority_score,table,domain,status,status_confidence,status_reason,migration_action,reference_count,source_files,indirect_coverage_hints,priority_reasons
P0,89,spine_connector_runs,connectors,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,20,scripts/write_spine_files.py;src/socmint/database.py,[],active candidate;core domain: connectors;known v6/v7/v12 family prefix;declared/referenced in multiple files
P0,89,spine_dossier_assertions,dossier,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,9,scripts/write_spine_files.py;src/socmint/database.py,[],active candidate;core domain: dossier;known v6/v7/v12 family prefix;declared/referenced in multiple files
P0,89,spine_raw_artifacts,evidence,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,5,scripts/write_spine_files.py;src/socmint/database.py,[],active candidate;core domain: evidence;known v6/v7/v12 family prefix;declared/referenced in multiple files
P0,89,spine_observations,identity,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,29,scripts/write_spine_files.py;src/socmint/database.py,[],active candidate;core domain: identity;known v6/v7/v12 family prefix;declared/referenced in multiple files
P0,89,spine_seeds,identity,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,21,scripts/write_spine_files.py;src/socmint/database.py,[],active candidate;core domain: identity;known v6/v7/v12 family prefix;declared/referenced in multiple files
P0,89,spine_subjects,identity,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,38,scripts/write_spine_files.py;src/socmint/database.py,[],active candidate;core domain: identity;known v6/v7/v12 family prefix;declared/referenced in multiple files
P0,89,spine_validation_events,identity,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,3,scripts/write_spine_files.py;src/socmint/database.py,[],active candidate;core domain: identity;known v6/v7/v12 family prefix;declared/referenced in multiple files
P0,85,retention_runs,connectors,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,3,src/socmint/database.py,[],active candidate;core domain: connectors;known v6/v7/v12 family prefix
P0,85,workbench_jobs,connectors,active_candidate,0.75,declared under src/socmint,candidate_for_explicit_alembic_migration_after_column_review,23,src/socmint/database.py,[],active candidate;core domain: connectors;known v6/v7/v12 family prefix
P0,85,identity_columns,identity,active_candidate,0.55,path/name contains active domain hint,candidate_for_explicit_alembic_migration_after_column_review,26,var/venvs/v12_10_17/lib/python3.13/site-packages/sqlalchemy/dialects/mssql/information_schema.py,[],active candidate;core domain: identity;known v6/v7/v12 family prefix
